Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
Albania,2020,5.365,9.492,0.71,69.125,0.754,0.004,0.891
Albania,2021,5.255,9.583,0.702,69.15,0.827,0.041,0.896
Albania,2022,5.212,9.626,0.724,69.175,0.802,-0.066,0.846
Argentina,2020,5.901,9.888,0.897,67.15,0.823,-0.129,0.816
Argentina,2021,5.908,9.977,0.882,67.2,0.819,-0.012,0.816
Argentina,2022,6.261,10.011,0.893,67.25,0.825,-0.128,0.81
Australia,2020,7.137,10.794,0.937,70.975,0.905,0.203,0.491
Australia,2021,7.112,10.815,0.92,71.05,0.912,0.236,0.454
Australia,2022,7.035,10.854,0.942,71.125,0.854,0.153,0.545
Austria,2020,7.213,10.859,0.925,71.025,0.912,0.006,0.464
Austria,2021,7.08,10.899,0.863,71.15,0.795,0.159,0.501
Austria,2022,6.999,10.939,0.876,71.275,0.856,0.139,0.524
Bangladesh,2020,5.28,8.629,0.739,64.425,0.777,-0.023,0.742
Bangladesh,2021,4.123,8.685,0.485,64.55,0.893,0.092,0.746
Bangladesh,2022,3.408,8.743,0.404,64.675,0.865,-0.055,0.617
Belgium,2020,6.839,10.799,0.904,70.75,0.767,-0.17,0.634
Belgium,2021,6.882,10.854,0.915,70.9,0.823,0.079,0.523
Belgium,2022,6.857,10.878,0.923,71.05,0.89,0.097,0.483
Benin,2020,4.408,8.067,0.507,55.8,0.783,-0.083,0.532
Benin,2021,4.493,8.108,0.436,56.1,0.724,-0.013,0.613
Benin,2022,4.217,8.137,0.366,56.4,0.714,-0.03,0.58
Bolivia,2020,5.559,8.946,0.805,63.45,0.877,-0.053,0.868
Bolivia,2021,5.569,8.994,0.798,63.6,0.862,-0.055,0.812
Bolivia,2022,5.929,9.014,0.824,63.75,0.865,-0.08,0.84
Brazil,2020,6.11,9.548,0.831,65.575,0.786,-0.058,0.729
Brazil,2021,6.01,9.588,0.814,65.75,0.792,0.089,0.739
Brazil,2022,6.257,9.611,0.866,65.925,0.83,-0.061,0.742
Bulgaria,2020,5.598,10.021,0.916,66.4,0.818,-0.01,0.901
Bulgaria,2021,5.422,10.102,0.884,66.5,0.841,-0.016,0.891
Bulgaria,2022,5.378,10.138,0.953,66.6,0.741,-0.145,0.942
Cambodia,2020,4.377,8.361,0.724,61.7,0.963,0.05,0.863
Cambodia,2021,4.555,8.379,0.713,61.9,0.965,0.015,0.844
Cambodia,2022,4.25,8.415,0.784,62.1,0.946,0.154,0.86
Cameroon,2020,5.241,8.207,0.72,55.175,0.675,0.045,0.837
Cameroon,2021,4.963,8.216,0.695,55.85,0.715,-0.026,0.849
Cameroon,2022,4.712,8.227,0.629,56.525,0.675,0.025,0.849
Canada,2020,7.025,10.738,0.931,71.35,0.887,0.045,0.434
Canada,2021,6.939,10.777,0.926,71.4,0.898,0.191,0.384
Canada,2022,6.918,10.803,0.929,71.45,0.838,0.222,0.442
Chile,2020,6.151,10.044,0.888,70.15,0.781,0.028,0.812
Chile,2021,6.436,10.144,0.891,70.3,0.803,-0.05,0.859
Chile,2022,6.415,10.154,0.887,70.45,0.793,-0.011,0.796
Colombia,2020,5.709,9.502,0.797,69.175,0.84,-0.088,0.808
Colombia,2021,5.29,9.592,0.793,69.35,0.775,-0.063,0.831
Colombia,2022,5.892,9.66,0.877,69.525,0.799,-0.162,0.863
Congo (Brazzaville),2020,5.079,8.127,0.597,56.525,0.761,-0.021,0.728
Congo (Brazzaville),2021,4.921,8.082,0.568,56.85,0.738,-0.019,0.733
Congo (Brazzaville),2022,5.805,8.077,0.646,57.175,0.698,0.028,0.76
Costa Rica,2020,6.338,9.895,0.834,70.0,0.889,-0.136,0.772
Costa Rica,2021,6.408,9.962,0.876,70.0,0.887,-0.027,0.782
Costa Rica,2022,7.077,9.998,0.902,70.0,0.91,-0.047,0.751
Croatia,2020,6.508,10.202,0.923,68.775,0.837,-0.069,0.961
Croatia,2021,6.287,10.362,0.918,68.95,0.842,0.003,0.934
Croatia,2022,5.579,10.458,0.91,69.125,0.593,-0.213,0.875
Cyprus,2020,6.26,10.583,0.806,72.6,0.763,-0.084,0.816
Cyprus,2021,6.269,10.638,0.855,72.8,0.718,-0.036,0.876
Cyprus,2022,5.865,8.127,0.82,73.0,0.698,-0.125,0.887
Czechia,2020,6.897,10.562,0.964,68.925,0.906,-0.133,0.884
Czechia,2021,6.942,10.615,0.95,69.05,0.891,0.159,0.863
Czechia,2022,6.695,10.656,0.944,69.175,0.908,0.094,0.831
Denmark,2020,7.515,10.924,0.947,71.125,0.938,0.047,0.214
Denmark,2021,7.699,10.968,0.945,71.25,0.933,0.131,0.173
Denmark,2022,7.545,10.994,0.97,71.375,0.93,0.224,0.203
Dominican Republic,2020,5.168,9.727,0.806,64.2,0.835,-0.126,0.636
Dominican Republic,2021,6.031,9.832,0.857,64.4,0.859,-0.086,0.677
Dominican Republic,2022,5.518,9.874,0.82,64.6,0.853,-0.084,0.656
Ecuador,2020,5.354,9.245,0.804,68.75,0.829,-0.16,0.855
Ecuador,2021,5.435,9.275,0.786,69.0,0.821,-0.083,0.775
Ecuador,2022,5.887,9.29,0.825,69.25,0.759,-0.08,0.866
Egypt,2020,4.472,9.34,0.673,63.25,0.77,-0.112,0.884
Egypt,2021,4.026,9.356,0.717,63.5,0.704,-0.226,0.58
Egypt,2022,4.024,9.404,0.769,63.75,0.733,-0.208,0.884
El Salvador,2020,5.462,9.02,0.696,65.25,0.924,-0.129,0.583
El Salvador,2021,6.431,9.114,0.796,65.6,0.915,-0.081,0.663
El Salvador,2022,6.492,9.135,0.772,65.95,0.914,-0.112,0.621
Estonia,2020,6.453,10.488,0.958,69.425,0.954,-0.088,0.398
Estonia,2021,6.554,10.564,0.946,69.65,0.926,0.047,0.441
Estonia,2022,6.357,10.571,0.933,69.875,0.904,0.136,0.39
Finland,2020,7.889,10.767,0.962,71.075,0.962,-0.121,0.164
Finland,2021,7.794,10.795,0.97,71.15,0.963,-0.037,0.192
Finland,2022,7.729,10.814,0.974,71.225,0.959,0.102,0.19
France,2020,6.714,10.651,0.947,72.2,0.823,-0.174,0.565
France,2021,6.656,10.714,0.915,72.3,0.837,-0.102,0.561
France,2022,6.614,10.737,0.866,72.4,0.798,-0.025,0.533
Gabon,2020,4.887,9.54,0.701,57.925,0.528,-0.192,0.789
Gabon,2021,5.075,9.533,0.754,58.25,0.699,-0.205,0.766
Gabon,2022,5.14,9.539,0.775,58.575,0.699,-0.164,0.803
Georgia,2020,5.123,9.544,0.718,64.825,0.764,-0.223,0.583
Georgia,2021,4.911,9.648,0.671,64.95,0.777,-0.287,0.723
Georgia,2022,5.293,9.746,0.754,65.075,0.821,-0.253,0.655
Germany,2020,7.312,10.856,0.905,71.1,0.864,-0.066,0.424
Germany,2021,6.755,10.881,0.868,71.3,0.778,0.075,0.418
Germany,2022,6.608,10.899,0.916,71.5,0.895,0.081,0.417
Ghana,2020,5.319,8.569,0.643,58.375,0.824,0.199,0.847
Ghana,2021,4.378,8.601,0.633,58.75,0.73,0.108,0.888
Ghana,2022,4.191,8.615,0.628,59.125,0.786,0.117,0.909
Greece,2020,5.788,10.207,0.779,71.025,0.565,-0.244,0.764
Greece,2021,6.104,10.294,0.85,71.15,0.574,-0.159,0.752
Greece,2022,5.9,10.364,0.875,71.275,0.563,-0.316,0.874
Guinea,2020,4.972,7.865,0.732,53.75,0.598,0.078,0.79
Guinea,2021,4.945,7.879,0.627,54.2,0.676,0.16,0.784
Guinea,2022,5.317,7.9,0.582,54.65,0.729,0.139,0.77
Hungary,2020,6.038,10.349,0.943,67.35,0.771,-0.125,0.836
Hungary,2021,6.227,10.422,0.948,67.5,0.727,-0.044,0.832
Hungary,2022,5.861,10.484,0.937,67.65,0.776,-0.008,0.848
