,Country name,year,cancel_public_events
0,Afghanistan,2020,0
1,Afghanistan,2021,2
2,Afghanistan,2022,1
3,Albania,2020,2
4,Albania,2021,1
5,Albania,2022,0
6,Algeria,2020,2
7,Algeria,2021,2
8,Algeria,2022,2
9,Andorra,2020,1
10,Andorra,2021,2
11,Andorra,2022,0
12,Angola,2020,2
13,Angola,2021,1
14,Angola,2022,1
15,Argentina,2020,2
16,Argentina,2021,2
17,Argentina,2022,0
18,Aruba,2020,2
19,Aruba,2021,1
20,Aruba,2022,1
21,Australia,2020,2
22,Australia,2021,2
23,Australia,2022,0
24,Austria,2020,2
25,Austria,2021,2
26,Austria,2022,1
27,Azerbaijan,2020,2
28,Azerbaijan,2021,2
29,Azerbaijan,2022,2
30,Bahamas,2020,2
31,Bahamas,2021,1
32,Bahamas,2022,0
33,Bahrain,2020,2
34,Bahrain,2021,0
35,Bahrain,2022,0
36,Bangladesh,2020,2
37,Bangladesh,2021,2
38,Bangladesh,2022,0
39,Barbados,2020,1
40,Barbados,2021,2
41,Barbados,2022,1
42,Belarus,2020,1
43,Belarus,2021,1
44,Belarus,2022,0
45,Belgium,2020,2
46,Belgium,2021,1
47,Belgium,2022,0
48,Belize,2020,2
49,Belize,2021,2
50,Belize,2022,0
51,Benin,2020,1
52,Benin,2021,2
53,Benin,2022,0
54,Bermuda,2020,1
55,Bermuda,2021,1
56,Bermuda,2022,0
57,Bhutan,2020,2
58,Bhutan,2021,2
59,Bhutan,2022,0
60,Bolivia,2020,2
61,Bolivia,2021,0
62,Bolivia,2022,1
63,Bosnia and Herzegovina,2020,2
64,Bosnia and Herzegovina,2021,1
65,Bosnia and Herzegovina,2022,1
66,Botswana,2020,1
67,Botswana,2021,2
68,Botswana,2022,0
69,Brazil,2020,2
70,Brazil,2021,2
71,Brazil,2022,0
72,Brunei,2020,1
73,Brunei,2021,1
74,Brunei,2022,0
75,Bulgaria,2020,1
76,Bulgaria,2021,2
77,Bulgaria,2022,0
78,Burkina Faso,2020,0
79,Burkina Faso,2021,0
80,Burkina Faso,2022,0
81,Burundi,2020,0
82,Burundi,2021,0
83,Burundi,2022,1
84,Cambodia,2020,0
85,Cambodia,2021,2
86,Cambodia,2022,0
87,Cameroon,2020,2
88,Cameroon,2021,1
89,Cameroon,2022,1
90,Canada,2020,2
91,Canada,2021,2
92,Canada,2022,0
93,Cape Verde,2020,2
94,Cape Verde,2021,2
95,Cape Verde,2022,0
96,Central African Republic,2020,2
97,Central African Republic,2021,0
98,Central African Republic,2022,0
99,Chad,2020,2
100,Chad,2021,0
101,Chad,2022,0
102,Chile,2020,2
