,Country name,year,stringency_index
0,Afghanistan,2020,49.999
1,Afghanistan,2021,27.8175
2,Afghanistan,2022,12.5
3,Albania,2020,66.97555556
4,Albania,2021,48.38083333
5,Albania,2022,22.53166667
6,Algeria,2020,68.472
7,Algeria,2021,61.225
8,Algeria,2022,26.81833333
9,Andorra,2020,47.22333333
10,Andorra,2021,48.62916667
11,Andorra,2022,14.845
12,Angola,2020,75.10444444
13,Angola,2021,58.33166667
14,Angola,2022,39.94666667
15,Argentina,2020,88.88777778
16,Argentina,2021,67.01916667
17,Argentina,2022,20.38416667
18,Aruba,2020,59.15666667
19,Aruba,2021,43.8275
20,Aruba,2022,27.24083333
21,Australia,2020,58.33363636
22,Australia,2021,64.97083333
23,Australia,2022,25.53666667
24,Austria,2020,51.943
25,Austria,2021,63.22166667
26,Austria,2022,40.02833333
27,Azerbaijan,2020,75.047
28,Azerbaijan,2021,65.45916667
29,Azerbaijan,2022,50.7675
30,Bahamas,2020,78.85777778
31,Bahamas,2021,63.19166667
32,Bahamas,2022,31.0225
33,Bahrain,2020,63.334
34,Bahrain,2021,46.55916667
35,Bahrain,2022,14.89083333
36,Bangladesh,2020,79.42222222
37,Bangladesh,2021,68.47916667
38,Bangladesh,2022,19.67666667
39,Barbados,2020,54.21888889
40,Barbados,2021,63.50416667
41,Barbados,2022,35.22583333
42,Belarus,2020,27.5
43,Belarus,2021,33.94833333
44,Belarus,2022,11.72916667
45,Belgium,2020,58.055
46,Belgium,2021,50.35166667
47,Belgium,2022,16.61083333
48,Belize,2020,72.42666667
49,Belize,2021,62.06166667
50,Belize,2022,25.4625
51,Benin,2020,49.28
52,Benin,2021,40.70333333
53,Benin,2022,19.98916667
54,Bermuda,2020,52.88
55,Bermuda,2021,50.75666667
56,Bermuda,2022,24.48333333
57,Bhutan,2020,77.41666667
58,Bhutan,2021,58.33333333
59,Bhutan,2022,31.17416667
60,Bolivia,2020,83.64111111
61,Bolivia,2021,34.64416667
62,Bolivia,2022,25.82916667
63,Bosnia and Herzegovina,2020,58.43555556
64,Bosnia and Herzegovina,2021,38.65916667
65,Bosnia and Herzegovina,2022,30.24583333
66,Botswana,2020,61.16333333
67,Botswana,2021,51.775
68,Botswana,2022,8.951666667
69,Brazil,2020,64.028
70,Brazil,2021,60.42166667
71,Brazil,2022,29.16583333
72,Brunei,2020,44.03333333
73,Brunei,2021,51.62
74,Brunei,2022,28.16333333
75,Bulgaria,2020,49.79555556
76,Bulgaria,2021,46.82833333
77,Bulgaria,2022,20.6425
78,Burkina Faso,2020,41.04888889
79,Burkina Faso,2021,20.60166667
80,Burkina Faso,2022,11.41833333
81,Burundi,2020,13.57888889
82,Burundi,2021,16.12583333
83,Burundi,2022,20.13583333
84,Cambodia,2020,44.61181818
85,Cambodia,2021,73.02166667
86,Cambodia,2022,22.225
87,Cameroon,2020,54.32333333
88,Cameroon,2021,30.94166667
89,Cameroon,2022,22.68666667
90,Canada,2020,57.45090909
91,Canada,2021,70.71083333
92,Canada,2022,27.51666667
93,Cape Verde,2020,73.51
94,Cape Verde,2021,53.8575
95,Cape Verde,2022,28.77333333
96,Central African Republic,2020,53.39555556
97,Central African Republic,2021,15.4325
98,Central African Republic,2022,16.6675
99,Chad,2020,66.87111111
100,Chad,2021,31.24916667
101,Chad,2022,24.53833333
102,Chile,2020,74.122
103,Chile,2021,65.92583333
