,Country name,year,stringency_index,facial_coverings,restriction_gatherings,cancel_public_events,Life Ladder,Log GDP per capita,Social support
0,Albania,2020,66.97555556,1,4,2,5.365,9.492,0.71
1,Albania,2021,48.38083333,4,3,1,5.255,9.583,0.702
2,Albania,2022,22.53166667,2,0,0,5.212,9.626,0.724
3,Argentina,2020,88.88777778,3,4,2,5.901,9.888,0.897
4,Argentina,2021,67.01916667,3,4,2,5.908,9.977,0.882
5,Argentina,2022,20.38416667,1,0,0,6.261,10.011,0.893
6,Australia,2020,58.33363636,0,4,2,7.137,10.794,0.937
7,Australia,2021,64.97083333,3,4,2,7.112,10.815,0.92
8,Australia,2022,25.53666667,2,0,0,7.035,10.854,0.942
9,Austria,2020,51.943,2,4,2,7.213,10.859,0.925
10,Austria,2021,63.22166667,3,2,2,7.08,10.899,0.863
11,Austria,2022,40.02833333,2,2,1,6.999,10.939,0.876
12,Bangladesh,2020,79.42222222,4,4,2,5.28,8.629,0.739
13,Bangladesh,2021,68.47916667,4,4,2,4.123,8.685,0.485
14,Bangladesh,2022,19.67666667,4,0,0,3.408,8.743,0.404
15,Belgium,2020,58.055,3,4,2,6.839,10.799,0.904
16,Belgium,2021,50.35166667,3,4,1,6.882,10.854,0.915
17,Belgium,2022,16.61083333,2,0,0,6.857,10.878,0.923
18,Benin,2020,49.28,3,3,1,4.408,8.067,0.507
19,Benin,2021,40.70333333,4,3,2,4.493,8.108,0.436
20,Benin,2022,19.98916667,2,0,0,4.217,8.137,0.366
21,Bolivia,2020,83.64111111,3,4,2,5.559,8.946,0.805
22,Bolivia,2021,34.64416667,4,0,0,5.569,8.994,0.798
23,Bolivia,2022,25.82916667,4,0,1,5.929,9.014,0.824
24,Brazil,2020,64.028,4,4,2,6.11,9.548,0.831
25,Brazil,2021,60.42166667,4,3,2,6.01,9.588,0.814
26,Brazil,2022,29.16583333,2,0,0,6.257,9.611,0.866
27,Bulgaria,2020,49.79555556,2,3,1,5.598,10.021,0.916
28,Bulgaria,2021,46.82833333,3,3,2,5.422,10.102,0.884
29,Bulgaria,2022,20.6425,0,0,0,5.378,10.138,0.953
30,Cambodia,2020,44.61181818,1,2,0,4.377,8.361,0.724
31,Cambodia,2021,73.02166667,3,4,2,4.555,8.379,0.713
32,Cambodia,2022,22.225,2,0,0,4.25,8.415,0.784
33,Cameroon,2020,54.32333333,3,3,2,5.241,8.207,0.72
34,Cameroon,2021,30.94166667,3,3,1,4.963,8.216,0.695
35,Cameroon,2022,22.68666667,3,3,1,4.712,8.227,0.629
36,Canada,2020,57.45090909,3,4,2,7.025,10.738,0.931
37,Canada,2021,70.71083333,3,4,2,6.939,10.777,0.926
38,Canada,2022,27.51666667,2,0,0,6.918,10.803,0.929
39,Chile,2020,74.122,2,4,2,6.151,10.044,0.888
40,Chile,2021,65.92583333,3,4,2,6.436,10.144,0.891
41,Chile,2022,24.61416667,2,1,1,6.415,10.154,0.887
42,Colombia,2020,78.70555556,4,3,2,5.709,9.502,0.797
43,Colombia,2021,61.09583333,3,3,2,5.29,9.592,0.793
44,Colombia,2022,28.09,3,0,0,5.892,9.66,0.877
45,Costa Rica,2020,65.68888889,0,3,2,6.338,9.895,0.834
46,Costa Rica,2021,57.67916667,3,3,2,6.408,9.962,0.876
47,Costa Rica,2022,19.07666667,2,0,0,7.077,9.998,0.902
48,Croatia,2020,48.89,0,0,1,6.508,10.202,0.923
49,Croatia,2021,41.32083333,3,3,1,6.287,10.362,0.918
50,Croatia,2022,17.745,2,0,0,5.579,10.458,0.91
51,Cyprus,2020,66.04777778,0,4,2,6.26,10.583,0.806
52,Cyprus,2021,60.19583333,3,3,1,6.269,10.638,0.855
53,Cyprus,2022,25.67916667,3,0,0,5.865,8.127,0.82
54,Czechia,2020,51.59444444,3,4,1,6.897,10.562,0.964
55,Czechia,2021,57.59916667,2,4,1,6.942,10.615,0.95
56,Czechia,2022,19.47333333,1,0,0,6.695,10.656,0.944
57,Denmark,2020,51.667,0,4,1,7.515,10.924,0.947
58,Denmark,2021,46.3575,2,4,2,7.699,10.968,0.945
59,Denmark,2022,13.06083333,0,0,0,7.545,10.994,0.97
60,Dominican Republic,2020,80.34777778,3,4,2,5.168,9.727,0.806
61,Dominican Republic,2021,61.42083333,3,4,2,6.031,9.832,0.857
62,Dominican Republic,2022,12.92833333,0,0,0,5.518,9.874,0.82
63,Ecuador,2020,73.30333333,3,3,2,5.354,9.245,0.804
64,Ecuador,2021,60.6625,3,4,2,5.435,9.275,0.786
65,Ecuador,2022,26.59583333,2,0,0,5.887,9.29,0.825
66,Egypt,2020,68.612,3,3,2,4.472,9.34,0.673
67,Egypt,2021,44.555,3,3,2,4.026,9.356,0.717
68,Egypt,2022,26.6675,3,0,0,4.024,9.404,0.769
69,El Salvador,2020,77.36555556,3,3,2,5.462,9.02,0.696
70,El Salvador,2021,34.1825,4,1,1,6.431,9.114,0.796
71,El Salvador,2022,26.94,4,1,0,6.492,9.135,0.772
72,Estonia,2020,40.465,1,4,1,6.453,10.488,0.958
73,Estonia,2021,39.37833333,2,1,1,6.554,10.564,0.946
74,Estonia,2022,23.2375,1,0,0,6.357,10.571,0.933
75,Finland,2020,39.26909091,0,0,1,7.889,10.767,0.962
76,Finland,2021,42.32333333,1,4,1,7.794,10.795,0.97
77,Finland,2022,16.42083333,1,0,0,7.729,10.814,0.974
78,France,2020,58.12272727,4,4,2,6.714,10.651,0.947
79,France,2021,53.92083333,4,4,1,6.656,10.714,0.915
80,France,2022,20.75833333,2,0,0,6.614,10.737,0.866
81,Gabon,2020,76.02888889,3,4,2,4.887,9.54,0.701
82,Gabon,2021,62.80833333,3,3,2,5.075,9.533,0.754
83,Gabon,2022,20.6125,2,0,0,5.14,9.539,0.775
84,Georgia,2020,66.019,2,4,2,5.123,9.544,0.718
85,Georgia,2021,55.09083333,3,4,2,4.911,9.648,0.671
86,Georgia,2022,16.66833333,2,0,0,5.293,9.746,0.754
87,Germany,2020,54.79818182,2,4,2,7.312,10.856,0.905
88,Germany,2021,62.3975,2,4,2,6.755,10.881,0.868
89,Germany,2022,22.08833333,2,0,0,6.608,10.899,0.916
90,Ghana,2020,54.01222222,4,3,2,5.319,8.569,0.643
91,Ghana,2021,42.36,4,3,2,4.378,8.601,0.633
92,Ghana,2022,43.2575,1,4,2,4.191,8.615,0.628
93,Greece,2020,59.119,2,3,2,5.788,10.207,0.779
94,Greece,2021,72.9875,4,4,1,6.104,10.294,0.85
95,Greece,2022,32.1475,2,0,1,5.9,10.364,0.875
96,Guinea,2020,68.31222222,4,3,2,4.972,7.865,0.732
97,Guinea,2021,60.0,3,3,2,4.945,7.879,0.627
98,Guinea,2022,45.3175,3,3,2,5.317,7.9,0.582
99,Hungary,2020,57.40555556,2,2,2,6.038,10.349,0.943
100,Hungary,2021,49.57833333,2,4,1,6.227,10.422,0.948
101,Hungary,2022,11.33583333,2,0,0,5.861,10.484,0.937
102,Iceland,2020,43.981,0,3,2,7.575,10.862,0.983
103,Iceland,2021,39.73833333,2,2,1,7.565,10.889,0.98
104,Iceland,2022,15.17666667,0,0,0,7.449,10.935,0.985
105,India,2020,68.64545455,4,4,2,4.224,8.718,0.616
106,India,2021,67.15083333,4,4,2,3.558,8.794,0.57
107,India,2022,42.43666667,3,0,0,3.93,8.85,0.608
108,Indonesia,2020,64.71333333,4,4,2,4.828,9.351,0.751
109,Indonesia,2021,68.86916667,4,4,2,5.433,9.381,0.817
110,Indonesia,2022,41.805,2,0,0,5.585,9.425,0.834
111,Iran,2020,53.75,0,0,2,4.865,9.577,0.757
112,Iran,2021,73.9975,3,4,2,4.788,9.616,0.771
113,Iran,2022,56.585,2,4,2,4.977,9.638,0.8
114,Ireland,2020,64.165,0,4,2,7.035,11.42,0.96
115,Ireland,2021,61.60583333,3,4,1,6.828,11.538,0.85
116,Ireland,2022,13.60083333,1,0,0,6.87,11.625,0.906
117,Israel,2020,61.574,3,3,2,7.195,10.58,0.959
118,Israel,2021,52.66666667,2,2,1,7.578,10.647,0.917
119,Israel,2022,21.18,2,0,0,7.662,10.692,0.954
120,Italy,2020,68.47545455,4,4,2,6.488,10.573,0.89
121,Italy,2021,64.29666667,4,4,2,6.467,10.644,0.886
122,Italy,2022,27.65916667,2,0,0,6.258,10.685,0.869
123,Jamaica,2020,78.60111111,3,3,2,5.425,9.127,0.87
124,Jamaica,2021,73.30166667,3,4,2,5.814,9.169,0.857
125,Jamaica,2022,26.90833333,0,0,0,5.87,9.198,0.868
126,Japan,2020,33.16545455,1,0,1,6.118,10.595,0.887
127,Japan,2021,48.68666667,1,1,1,6.091,10.616,0.896
128,Japan,2022,40.20583333,1,1,1,6.178,10.636,0.899
129,Jordan,2020,73.45666667,0,3,2,4.094,9.127,0.709
130,Jordan,2021,50.54,2,3,1,3.909,9.129,0.703
131,Jordan,2022,16.20333333,2,0,0,4.356,9.134,0.774
132,Kazakhstan,2020,79.32333333,3,4,2,6.168,10.141,0.966
133,Kazakhstan,2021,66.975,3,4,2,6.26,10.17,0.906
134,Kazakhstan,2022,26.545,1,0,0,6.006,10.187,0.923
135,Kenya,2020,72.01777778,3,3,2,4.547,8.411,0.674
136,Kenya,2021,57.0375,4,3,2,4.465,8.465,0.702
137,Kenya,2022,42.40916667,1,3,2,4.448,8.499,0.691
138,Kosovo,2020,71.60555556,0,4,2,6.294,9.279,0.792
139,Kosovo,2021,52.08333333,3,3,1,6.648,9.383,0.849
140,Kosovo,2022,38.24083333,1,0,2,6.16,9.416,0.888
141,Kyrgyzstan,2020,74.12444444,3,4,2,6.25,8.461,0.902
142,Kyrgyzstan,2021,47.53,2,4,2,5.564,8.479,0.904
143,Kyrgyzstan,2022,31.01666667,2,4,2,5.668,8.517,0.927
144,Latvia,2020,49.69111111,2,3,0,6.229,10.328,0.928
145,Latvia,2021,50.35333333,3,4,2,6.353,10.376,0.954
146,Latvia,2022,17.16333333,2,0,0,6.055,10.407,0.928
147,Lebanon,2020,70.093,3,4,2,2.634,9.531,0.547
148,Lebanon,2021,65.005,3,3,1,2.179,9.471,0.507
149,Lebanon,2022,31.2525,1,0,1,2.352,9.428,0.535
150,Lithuania,2020,51.156,0,4,2,6.391,10.523,0.953
151,Lithuania,2021,48.16166667,2,4,1,6.865,10.579,0.928
152,Lithuania,2022,14.83166667,1,0,0,7.038,10.602,0.937
153,Mali,2020,50.92555556,3,3,1,4.269,7.661,0.568
154,Mali,2021,44.75166667,3,3,2,4.113,7.659,0.573
155,Mali,2022,29.7525,0,0,2,4.211,7.645,0.642
156,Malta,2020,57.71666667,0,4,2,6.157,10.615,0.938
157,Malta,2021,52.315,4,4,2,6.444,10.707,0.897
158,Malta,2022,24.29916667,2,0,0,6.299,8.127,0.932
159,Mauritius,2020,38.99222222,3,0,0,6.015,9.915,0.893
160,Mauritius,2021,47.95166667,3,3,1,5.949,9.951,0.887
161,Mauritius,2022,21.2575,2,0,0,5.741,10.007,0.887
162,Mexico,2020,67.362,4,3,2,5.964,9.816,0.779
163,Mexico,2021,52.19833333,4,0,1,5.991,9.857,0.779
164,Mexico,2022,25.62416667,2,0,1,7.038,9.876,0.858
165,Moldova,2020,66.15444444,2,4,2,5.812,9.409,0.874
166,Moldova,2021,55.7075,3,4,2,5.959,9.547,0.88
167,Moldova,2022,19.0375,1,0,0,5.687,9.54,0.817
168,Mongolia,2020,61.73,2,0,2,6.011,9.365,0.918
169,Mongolia,2021,61.035,4,4,2,5.721,9.365,0.927
170,Mongolia,2022,12.26833333,2,0,0,5.788,9.388,0.951
171,Morocco,2020,77.26444444,4,4,2,4.803,8.929,0.553
172,Morocco,2021,69.03333333,3,4,2,5.326,8.994,0.505
173,Morocco,2022,34.22666667,3,0,0,4.596,8.996,0.564
174,Namibia,2020,55.24666667,3,3,1,4.451,9.11,0.741
175,Namibia,2021,44.32833333,3,3,1,4.491,9.12,0.808
176,Namibia,2022,17.90166667,0,2,1,4.949,9.132,0.808
177,Nepal,2020,70.53909091,0,4,2,5.982,8.233,0.787
178,Nepal,2021,55.05416667,4,0,1,4.622,8.251,0.699
179,Nepal,2022,35.6125,4,2,1,5.474,8.285,0.753
180,Netherlands,2020,55.371,2,4,2,7.504,10.902,0.944
